hud_area_code	hud_areaname	rent_50_0	rent_50_1	rent_50_2	rent_50_3	rent_50_4
NCNTY28043N28043	Grenada County, MS	615	619	815	1,024	1,113
NCNTY28063N28063	Jefferson County, MS	615	619	815	1,104	1,108
NCNTY28079N28079	Leake County, MS	615	619	815	992	1,133
NCNTY28083N28083	Leflore County, MS	615	619	815	1,025	1,095
NCNTY28119N28119	Quitman County, MS	615	619	815	1,004	1,388
NCNTY28133N28133	Sunflower County, MS	545	619	815	992	1,185
NCNTY28159N28159	Winston County, MS	615	619	815	1,079	1,095
NCNTY28161N28161	Yalobusha County, MS	615	619	815	1,158	1,388
NCNTY21009N21009	Barren County, KY	579	618	799	1,036	1,073
NCNTY22003N22003	Allen Parish, LA	597	618	779	1,013	1,179
NCNTY47099N47099	Lawrence County, TN	614	618	813	1,027	1,143
METRO44180N29167	Polk County, MO HUD Metro FMR Area	613	617	794	1,042	1,193
NCNTY47067N47067	Hancock County, TN	613	617	798	971	1,359
NCNTY05109N05109	Pike County, AR	575	616	767	1,001	1,194
NCNTY21223N21223	Trimble County, KY	579	616	799	1,069	1,142
NCNTY29041N29041	Chariton County, MO	579	616	786	1,094	1,122
NCNTY01087N01087	Macon County, AL	612	615	809	1,024	1,378
NCNTY21229N21229	Washington County, KY	587	615	809	985	1,265
NCNTY29103N29103	Knox County, MO	596	615	810	986	1,256
NCNTY47177N47177	Warren County, TN	611	615	809	992	1,146
NCNTY05043N05043	Drew County, AR	605	614	808	990	1,180
NCNTY21129N21129	Lee County, KY	579	614	799	1,072	1,076
NCNTY29055N29055	Crawford County, MO	538	614	804	1,074	1,210
NCNTY21105N21105	Hickman County, KY	579	613	799	1,072	1,076
NCNTY05123N05123	St. Francis County, AR	609	612	767	1,090	1,109
NCNTY05149N05149	Yell County, AR	575	612	767	1,027	1,091
NCNTY01049N01049	DeKalb County, AL	591	611	781	1,071	1,217
METRO44180N29059	Dallas County, MO HUD Metro FMR Area	606	610	786	1,102	1,104
NCNTY21141N21141	Logan County, KY	582	610	802	1,090	1,300
NCNTY22083N22083	Richland Parish, LA	606	610	803	977	1,243
NCNTY29073N29073	Gasconade County, MO	591	610	803	977	1,368
NCNTY22081N22081	Red River Parish, LA	605	609	801	975	1,130
NCNTY22127N22127	Winn Parish, LA	596	609	778	1,076	1,110
NCNTY29015N29015	Benton County, MO	605	609	802	1,064	1,350
NCNTY29179N29179	Reynolds County, MO	591	609	802	976	1,243
NCNTY47079N47079	Henry County, TN	605	609	802	976	1,077
NCNTY54021N54021	Gilmer County, WV	605	609	802	976	1,089
NCNTY54023N54023	Grant County, WV	605	609	802	1,005	1,164
NCNTY54059N54059	Mingo County, WV	605	609	802	1,065	1,361
NCNTY54073N54073	Pleasants County, WV	605	609	802	1,140	1,164
NCNTY54089N54089	Summers County, WV	605	609	802	1,140	1,164
NCNTY54101N54101	Webster County, WV	536	609	802	1,079	1,164
NCNTY05135N05135	Sharp County, AR	559	608	767	937	1,200
METRO14540N21031	Butler County, KY HUD Metro FMR Area	603	607	799	1,136	1,197
METRO26580M21043	Carter County, KY HUD Metro FMR Area	603	607	799	1,069	1,073
NCNTY21055N21055	Crittenden County, KY	579	607	799	1,011	1,076
NCNTY21057N21057	Cumberland County, KY	534	607	799	992	1,076
NCNTY21065N21065	Estill County, KY	579	607	799	972	1,110
NCNTY21083N21083	Graves County, KY	579	607	799	1,124	1,217
NCNTY21097N21097	Harrison County, KY	579	607	799	1,054	1,073
NCNTY21099N21099	Hart County, KY	600	607	799	1,054	1,153
NCNTY21115N21115	Johnson County, KY	579	607	799	1,058	1,076
NCNTY21121N21121	Knox County, KY	579	607	799	1,058	1,361
NCNTY21127N21127	Lawrence County, KY	579	607	799	1,127	1,225
NCNTY21137N21137	Lincoln County, KY	579	607	799	972	1,073
NCNTY21171N21171	Monroe County, KY	579	607	799	1,069	1,073
NCNTY21175N21175	Morgan County, KY	579	607	799	1,057	1,076
NCNTY21177N21177	Muhlenberg County, KY	579	607	799	1,006	1,073
NCNTY21181N21181	Nicholas County, KY	579	607	799	980	1,361
NCNTY21201N21201	Robertson County, KY	579	607	799	972	1,076
NCNTY21203N21203	Rockcastle County, KY	579	607	799	1,084	1,147
NCNTY21207N21207	Russell County, KY	579	607	799	1,022	1,073
NCNTY21219N21219	Todd County, KY	579	607	799	1,099	1,224
NCNTY21233N21233	Webster County, KY	579	607	799	974	1,076
METRO34100M47057	Grainger County, TN HUD Metro FMR Area	602	606	798	1,068	1,072
NCNTY29187N29187	St. Francois County, MO	588	606	798	1,091	1,095
NCNTY47007N47007	Bledsoe County, TN	602	606	798	1,134	1,359
NCNTY47029N47029	Cocke County, TN	602	606	798	1,124	1,132
NCNTY47039N47039	Decatur County, TN	602	606	798	1,017	1,122
NCNTY47041N47041	DeKalb County, TN	602	606	798	1,031	1,148
NCNTY47049N47049	Fentress County, TN	602	606	798	983	1,188
NCNTY47069N47069	Hardeman County, TN	602	606	798	1,085	1,094
NCNTY47071N47071	Hardin County, TN	602	606	798	1,068	1,072
NCNTY47075N47075	Haywood County, TN	600	606	798	1,054	1,230
NCNTY47087N47087	Jackson County, TN	602	606	798	971	1,072
NCNTY47097N47097	Lauderdale County, TN	602	606	798	1,040	1,277
NCNTY47101N47101	Lewis County, TN	602	606	798	971	1,359
NCNTY47135N47135	Perry County, TN	602	606	798	1,013	1,122
NCNTY47143N47143	Rhea County, TN	602	606	798	1,088	1,153
NCNTY05011N05011	Bradley County, AR	575	605	767	1,071	1,306
NCNTY05093N05093	Mississippi County, AR	567	605	767	1,027	1,030
NCNTY29057N29057	Dade County, MO	579	605	786	1,089	1,298
NCNTY01025N01025	Clarke County, AL	591	604	781	1,110	1,330
NCNTY05041N05041	Desha County, AR	575	603	767	1,043	1,306
NCNTY29079N29079	Grundy County, MO	579	602	786	1,037	1,219
NCNTY01095N01095	Marshall County, AL	596	600	781	1,045	1,049
NCNTY05061N05061	Howard County, AR	521	600	767	940	1,030
NCNTY05015N05015	Carroll County, AR	528	599	789	960	1,060
NCNTY05057N05057	Hempstead County, AR	591	599	789	1,026	1,272
NCNTY29223N29223	Wayne County, MO	579	599	786	1,030	1,339
METRO27620N29135	Moniteau County, MO HUD Metro FMR Area	593	597	786	1,002	1,142
NCNTY29001N29001	Adair County, MO	526	597	786	1,117	1,339
NCNTY29005N29005	Atchison County, MO	579	597	786	957	1,056
NCNTY29009N29009	Barry County, MO	593	597	786	1,117	1,150
NCNTY29023N29023	Butler County, MO	579	597	786	1,068	1,229
NCNTY29033N29033	Carroll County, MO	579	597	786	1,102	1,220
NCNTY29035N29035	Carter County, MO	579	597	786	992	1,219
NCNTY29045N29045	Clark County, MO	579	597	786	985	1,219
NCNTY29061N29061	Daviess County, MO	579	597	786	1,117	1,239
NCNTY29065N29065	Dent County, MO	579	597	786	1,044	1,122
NCNTY29067N29067	Douglas County, MO	579	597	786	957	1,339
NCNTY29069N29069	Dunklin County, MO	579	597	786	1,006	1,070
NCNTY29075N29075	Gentry County, MO	579	597	786	1,032	1,236
NCNTY29085N29085	Hickory County, MO	526	597	786	985	1,219
NCNTY29087N29087	Holt County, MO	579	597	786	1,051	1,308
NCNTY29091N29091	Howell County, MO	579	597	786	1,052	1,056
NCNTY29105N29105	Laclede County, MO	579	597	786	1,049	1,339
NCNTY29111N29111	Lewis County, MO	530	597	786	981	1,219
NCNTY29115N29115	Linn County, MO	579	597	786	957	1,056
NCNTY29121N29121	Macon County, MO	526	597	786	1,112	1,116
NCNTY29123N29123	Madison County, MO	579	597	786	1,034	1,219
NCNTY29129N29129	Mercer County, MO	579	597	786	1,052	1,056
NCNTY29133N29133	Mississippi County, MO	579	597	786	1,068	1,339
NCNTY29137N29137	Monroe County, MO	579	597	786	966	1,184
NCNTY29139N29139	Montgomery County, MO	570	597	786	1,100	1,156
NCNTY29149N29149	Oregon County, MO	579	597	786	1,117	1,234
NCNTY29175N29175	Randolph County, MO	579	597	786	1,087	1,233
NCNTY29181N29181	Ripley County, MO	579	597	786	991	1,096
NCNTY29185N29185	St. Clair County, MO	526	597	786	957	1,133
NCNTY29195N29195	Saline County, MO	579	597	786	1,092	1,219
NCNTY29199N29199	Scotland County, MO	579	597	786	1,115	1,219
NCNTY29205N29205	Shelby County, MO	526	597	786	962	1,282
NCNTY29207N29207	Stoddard County, MO	579	597	786	998	1,265
NCNTY29211N29211	Sullivan County, MO	526	597	786	998	1,056
NCNTY29221N29221	Washington County, MO	579	597	786	965	1,219
NCNTY29229N29229	Wright County, MO	579	597	786	1,050	1,177
NCNTY01005N01005	Barbour County, AL	592	596	784	997	1,053
NCNTY05113N05113	Polk County, AR	520	596	778	947	1,148
NCNTY22065N22065	Madison Parish, LA	591	595	778	1,078	1,311
METRO20020N01067	Henry County, AL HUD Metro FMR Area	589	593	781	1,039	1,049
METRO46220N01107	Pickens County, AL HUD Metro FMR Area	589	593	781	1,033	1,049
NCNTY01023N01023	Choctaw County, AL	591	593	781	972	1,330
NCNTY01039N01039	Covington County, AL	589	593	781	1,040	1,281
NCNTY01041N01041	Crenshaw County, AL	591	593	781	951	1,049
NCNTY01093N01093	Marion County, AL	522	593	781	1,013	1,330
NCNTY01127N01127	Walker County, AL	591	593	781	1,059	1,100
NCNTY01133N01133	Winston County, AL	591	593	781	1,070	1,074
NCNTY05059N05059	Hot Spring County, AR	571	593	781	1,041	1,271
NCNTY05117N05117	Prairie County, AR	585	593	781	951	1,111
NCNTY22027N22027	Claiborne Parish, LA	587	591	778	947	1,131
NCNTY22035N22035	East Carroll Parish, LA	587	591	778	1,057	1,146
NCNTY22059N22059	La Salle Parish, LA	587	591	778	992	1,095
NCNTY22097N22097	St. Landry Parish, LA	587	591	778	1,007	1,201
NCNTY22107N22107	Tensas Parish, LA	587	591	778	1,106	1,131
NCNTY22119N22119	Webster Parish, LA	587	591	778	1,050	1,054
NCNTY22123N22123	West Carroll Parish, LA	587	591	778	1,032	1,131
NCNTY05107N05107	Phillips County, AR	575	590	767	1,090	1,306
NCNTY05037N05037	Cross County, AR	581	589	775	1,084	1,320
NCNTY05063N05063	Independence County, AR	581	589	775	1,015	1,041
METRO27860N05111	Poinsett County, AR HUD Metro FMR Area	583	587	773	957	1,038
NCNTY05089N05089	Marion County, AR	578	586	772	940	1,037
METRO45500N05081	Little River County, AR HUD Metro FMR Area	579	583	767	1,090	1,306
NCNTY05017N05017	Chicot County, AR	579	583	767	1,040	1,306
NCNTY05021N05021	Clay County, AR	579	583	767	976	1,230
NCNTY05027N05027	Columbia County, AR	579	583	767	1,027	1,030
NCNTY05029N05029	Conway County, AR	575	583	767	1,068	1,177
NCNTY05039N05039	Dallas County, AR	575	583	767	1,090	1,091
NCNTY05049N05049	Fulton County, AR	513	583	767	1,065	1,243
NCNTY05067N05067	Jackson County, AR	575	583	767	933	1,091
NCNTY05071N05071	Johnson County, AR	575	583	767	1,020	1,030
NCNTY05073N05073	Lafayette County, AR	575	583	767	933	1,091
NCNTY05075N05075	Lawrence County, AR	575	583	767	1,020	1,208
NCNTY05077N05077	Lee County, AR	575	583	767	1,090	1,091
NCNTY05095N05095	Monroe County, AR	513	583	767	1,007	1,091
NCNTY05127N05127	Scott County, AR	575	583	767	971	1,091
NCNTY05129N05129	Searcy County, AR	575	583	767	991	1,091
NCNTY05137N05137	Stone County, AR	575	583	767	1,090	1,091
NCNTY05141N05141	Van Buren County, AR	533	583	767	936	1,030
NCNTY05147N05147	Woodruff County, AR	575	583	767	1,013	1,091
METRO41980MM7440	San Juan-Guaynabo, PR HUD Metro FMR Area	548	560	633	900	1,078
METRO41980M21940	Fajardo, PR HUD Metro FMR Area	514	525	593	799	946
METRO41980MM1310	Caguas, PR HUD Metro FMR Area	472	484	554	787	944
METRO32420M32420	Mayagüez, PR MSA	469	479	541	658	833
METRO38660M38660	Ponce, PR MSA	450	460	520	733	823
METRO11640M11640	Arecibo, PR MSA	443	453	512	659	733
METRO41900M41900	San German, PR MSA	412	447	505	663	756
METRO10380M10380	Aguadilla-Isabela, PR MSA	405	444	512	630	714
METRO41980N72923	Barranquitas-Aibonito, PR HUD Metro FMR Area	414	440	497	670	815
METRO25020M25020	Guayama, PR MSA	426	429	497	665	668
METRO49500M49500	Yauco, PR MSA	411	421	475	636	638
NCNTY72923N72923	Puerto Rico HUD Nonmetro Area	411	421	475	659	728
